"message_id","format","channel","release_class","brand_mode","file","dimensions","bytes","headline","support","support_rendered","alt_text"
"m01","4x5","meta-feed","digital-release","branded","delivery/4x5/high-frequency-m01-meta-feed-4x5-v1.jpg","1080x1350","329043","ALTA FRECUENCIA. ALTO ESTÁNDAR.","Producción creativa a escala, sin bajar el nivel.","true","Pieza de campaña Efeonce: un colibrí iridiscente vuela hacia la derecha y deja una estela de módulos de color. Texto: ALTA FRECUENCIA. ALTO ESTÁNDAR. Producción creativa a escala, sin bajar el nivel."
"m02","4x5","meta-feed","digital-release","branded","delivery/4x5/high-frequency-m02-meta-feed-4x5-v1.jpg","1080x1350","326180","PRODUCE MÁS. SIN BAJAR EL NIVEL.","Una dirección. Todos los formatos.","true","Pieza de campaña Efeonce: un colibrí iridiscente vuela hacia la derecha y deja una estela de módulos de color. Texto: PRODUCE MÁS. SIN BAJAR EL NIVEL. Una dirección. Todos los formatos."
"m03","4x5","meta-feed","digital-release","branded","delivery/4x5/high-frequency-m03-meta-feed-4x5-v1.jpg","1080x1350","322840","UNA IDEA. TODA LA CAMPAÑA.","El sistema escala. El criterio se mantiene.","true","Pieza de campaña Efeonce: un colibrí iridiscente vuela hacia la derecha y deja una estela de módulos de color. Texto: UNA IDEA. TODA LA CAMPAÑA. El sistema escala. El criterio se mantiene."
"m01","9x16","meta-story-reel","digital-release","branded","delivery/9x16/high-frequency-m01-meta-story-reel-9x16-v1.jpg","1080x1920","393506","ALTA FRECUENCIA. ALTO ESTÁNDAR.","Producción creativa a escala, sin bajar el nivel.","true","Pieza de campaña Efeonce: un colibrí iridiscente vuela hacia la derecha y deja una estela de módulos de color. Texto: ALTA FRECUENCIA. ALTO ESTÁNDAR. Producción creativa a escala, sin bajar el nivel."
"m02","9x16","meta-story-reel","digital-release","branded","delivery/9x16/high-frequency-m02-meta-story-reel-9x16-v1.jpg","1080x1920","390511","PRODUCE MÁS. SIN BAJAR EL NIVEL.","Una dirección. Todos los formatos.","true","Pieza de campaña Efeonce: un colibrí iridiscente vuela hacia la derecha y deja una estela de módulos de color. Texto: PRODUCE MÁS. SIN BAJAR EL NIVEL. Una dirección. Todos los formatos."
"m03","9x16","meta-story-reel","digital-release","branded","delivery/9x16/high-frequency-m03-meta-story-reel-9x16-v1.jpg","1080x1920","387356","UNA IDEA. TODA LA CAMPAÑA.","El sistema escala. El criterio se mantiene.","true","Pieza de campaña Efeonce: un colibrí iridiscente vuela hacia la derecha y deja una estela de módulos de color. Texto: UNA IDEA. TODA LA CAMPAÑA. El sistema escala. El criterio se mantiene."
"m01","3x1","display-banner","digital-release","branded","delivery/3x1/high-frequency-m01-display-banner-3x1-v1.jpg","1800x600","246517","ALTA FRECUENCIA. ALTO ESTÁNDAR.","Producción creativa a escala, sin bajar el nivel.","true","Pieza de campaña Efeonce: un colibrí iridiscente vuela hacia la derecha y deja una estela de módulos de color. Texto: ALTA FRECUENCIA. ALTO ESTÁNDAR. Producción creativa a escala, sin bajar el nivel."
"m02","3x1","display-banner","digital-release","branded","delivery/3x1/high-frequency-m02-display-banner-3x1-v1.jpg","1800x600","244376","PRODUCE MÁS. SIN BAJAR EL NIVEL.","Una dirección. Todos los formatos.","true","Pieza de campaña Efeonce: un colibrí iridiscente vuela hacia la derecha y deja una estela de módulos de color. Texto: PRODUCE MÁS. SIN BAJAR EL NIVEL. Una dirección. Todos los formatos."
"m03","3x1","display-banner","digital-release","branded","delivery/3x1/high-frequency-m03-display-banner-3x1-v1.jpg","1800x600","242293","UNA IDEA. TODA LA CAMPAÑA.","El sistema escala. El criterio se mantiene.","true","Pieza de campaña Efeonce: un colibrí iridiscente vuela hacia la derecha y deja una estela de módulos de color. Texto: UNA IDEA. TODA LA CAMPAÑA. El sistema escala. El criterio se mantiene."
"m01","16x9","digital-landscape","digital-release","branded","delivery/16x9/high-frequency-m01-digital-landscape-16x9-v1.jpg","1920x1080","371748","ALTA FRECUENCIA. ALTO ESTÁNDAR.","Producción creativa a escala, sin bajar el nivel.","true","Pieza de campaña Efeonce: un colibrí iridiscente vuela hacia la derecha y deja una estela de módulos de color. Texto: ALTA FRECUENCIA. ALTO ESTÁNDAR. Producción creativa a escala, sin bajar el nivel."
