SKU,Categoría,Rol,Tipo (Staff/Servicio),Tier,Salario Base (USD),Bonificación JiT,Bonificación RpA,Bonificación  AR,Bonificación Sobrecumplimiento,Gastos Previsionales,Fee Deel,Costo total,Costo Interno (USD/h),Costo Interno (FTE),Precio Hora Agencia (USD),Margen en %,Precio Hora (CLP),Precio Hora (CLF),Precio Hora (COP),Precio Hora (MXN),Precio Hora (PEN),Precio FTE (USD),Precio FTE (CLP),Precio FTE (CLF),Precio FTE (COP),Precio FTE (MXN),Precio FTE (PEN)
ECG-001,Creativo,Creative Operations Lead,Staff,Tier 3: Estratégico,1400,200,100,50,150,0,49,1949,10.827777777777778,1949,16.241666666666667,0.5,16241.666666666668,0.38980000000000004,68215,300.47083333333336,61.718333333333334,2923.5,2923500,70.164,12278700,54084.75,11109.3
ECG-002,Creativo,Senior Visual Designer,Staff,Tier 2: Especializado,950,150,75,35,100,0,49,1359,7.55,1359,9.815,0.3,9815,0.23556,41223,181.5775,37.297,1766.6999999999998,1766699.9999999998,42.4008,7420139.999999999,32683.949999999997,6713.459999999999
ECG-003,Creativo,Creative Designer,Staff,Tier 1: Commoditizado,675,150,50,35,75,0,49,1034,5.7444444444444445,1034,7.180555555555555,0.25,7180.555555555556,0.17233333333333334,30158.333333333332,132.84027777777777,27.286111111111108,1292.5,1292500,31.02,5428500,23911.25,4911.5
ECG-004,PR,PR Analyst,Staff,Tier 3: Estratégico,550,0,0,150,100,150,49,999,5.55,999,8.325,0.5,8325,0.19979999999999998,34965,154.0125,31.634999999999994,1498.4999999999998,1498499.9999999998,35.964,6293699.999999999,27722.249999999996,5694.299999999999
ECG-005,Creativo,Director de Arte,Servicio,Tier 3: Estratégico,1300,250,150,50,150,0,49,1949,10.827777777777778,1949,16.241666666666667,0.5,16241.666666666668,0.38980000000000004,68215,300.47083333333336,61.718333333333334,2923.5,2923500,70.164,12278700,54084.75,11109.3
ECG-006,Creativo,Social Media Manager,Servicio,Tier 1: Commoditizado,1000,200,100,50,150,0,49,1549,8.605555555555556,1549,10.756944444444445,0.25,10756.944444444445,0.25816666666666666,45179.166666666664,199.00347222222223,40.87638888888889,1936.25,1936250,46.47,8132250,35820.625,7357.75
ECG-007,Performance,Community Manager,Servicio,Tier 1: Commoditizado,900,200,100,50,150,0,49,1449,8.05,1449.0000000000002,10.0625,0.25,10062.5,0.2415,42262.5,186.15625,38.2375,1811.25,1811250,43.47,7607250,33508.125,6882.75
ECG-008,Performance,Paid Media Manager,Servicio,Tier 2: Especializado,2500,250,150,50,150,0,49,3149,17.494444444444444,3149,22.74277777777778,0.3,22742.777777777777,0.5458266666666667,95519.66666666667,420.7413888888889,86.42255555555555,4093.7000000000003,4093700.0000000005,98.2488,17193540,75733.45000000001,15556.06
ECG-009,Performance,Media Buyer,Servicio,Tier 1: Commoditizado,1300,200,100,50,150,0,49,1849,10.272222222222222,1849,12.840277777777779,0.25,12840.27777777778,0.3081666666666667,53929.16666666667,237.5451388888889,48.793055555555554,2311.25,2311250,55.47,9707250,42758.125,8782.75
ECG-010,Creativo,Content Manager,Servicio,Tier 1: Commoditizado,1200,200,100,50,150,0,49,1749,9.716666666666667,1749,12.145833333333334,0.25,12145.833333333334,0.29150000000000004,51012.5,224.69791666666669,46.15416666666667,2186.25,2186250,52.47,9182250,40445.625,8307.75
