SKU Servicio,Nombre del servicio,Tipo de ítem,Rol,Horas,Herramienta,Cantidad,Costo unitario (USD),Subtotal (USD),Comentario
EFG-001,Onboarding HubSpot Marketing Pro,Rol,Consultor HubSpot,4,,,62.355555555555554,249.42222222222222,
EFG-001,Onboarding HubSpot Marketing Pro,Herramienta,,,Notion,1,24,24,
EFG-001,Onboarding HubSpot Marketing Pro,Herramienta,,,Microsoft 365,1,16,16,
EFG-001,Onboarding HubSpot Marketing Pro,Herramienta,,,ChatGPT Plus,1,5,5,
EFG-001,Onboarding HubSpot Marketing Pro,Rol,Implementador HubSpot,18,,,43.605555555555554,784.9,
EFG-001,Onboarding HubSpot Marketing Pro,Herramienta,,,Microsoft 365,1,16,16,
EFG-001,Onboarding HubSpot Marketing Pro,Herramienta,,,Notion,1,24,24,
TOTAL,TOTAL — Onboarding HubSpot Marketing Pro,,,,,,,1119.322222222222,
EFG-002,Servicio de Diseño Digital Full Funnel,Rol,Creative Operations Lead,180,,,10.827777777777778,1949,
EFG-002,Servicio de Diseño Digital Full Funnel,Rol,Senior Visual Designer,180,,,7.55,1359,
EFG-002,Servicio de Diseño Digital Full Funnel,Rol,Senior Visual Designer,180,,,7.55,1359,
EFG-002,Servicio de Diseño Digital Full Funnel,Herramienta,,,Envato Elements,1,8.25,8.25,
EFG-002,Servicio de Diseño Digital Full Funnel,Herramienta,,,Adobe Creative Cloud,3,20,60,
EFG-002,Servicio de Diseño Digital Full Funnel,Herramienta,,,Freepik,1,8.25,8.25,
EFG-002,Servicio de Diseño Digital Full Funnel,Herramienta,,,Notion,3,24,72,
EFG-002,Servicio de Diseño Digital Full Funnel,Herramienta,,,Microsoft 365,3,16,48,
EFG-002,Servicio de Diseño Digital Full Funnel,Herramienta,,,Deel,3,12.25,36.75,
TOTAL,TOTAL — Servicio de Diseño Digital Full Funnel,,,,,,,4900.25,
EFG-003,Servicio de Performance y Paid Ads,Rol,Paid Media Manager,54,,,17.494444444444444,944.6999999999999,
EFG-003,Servicio de Performance y Paid Ads,Rol,Creative Designer,36,,,5.7444444444444445,206.8,
EFG-003,Servicio de Performance y Paid Ads,Herramienta,,,Notion,2,24,48,
EFG-003,Servicio de Performance y Paid Ads,Herramienta,,,Microsoft 365,2,16,32,
EFG-003,Servicio de Performance y Paid Ads,Herramienta,,,Adobe Creative Cloud,1,20,20,
TOTAL,TOTAL — Servicio de Performance y Paid Ads,,,,,,,1251.5,
